timestamp,speed_kmh,rpm,co2_ppm,co_ppm,smoke_ppm,safety_rating
2026-09-19 14:19:18.490358,42.5,1754.0,960.1,25.7,88.3,Warning
2026-09-19 14:19:21.490358,40.4,1837.0,921.0,24.3,134.6,Warning
2026-09-19 14:19:24.490358,45.4,1854.0,907.7,38.0,175.8,Warning
2026-09-19 14:19:27.490358,50.9,2032.0,979.0,22.1,112.2,Warning
2026-09-19 14:19:30.490358,43.2,2131.0,935.2,26.7,167.6,Warning
2026-09-19 14:19:33.490358,44.3,2109.0,890.6,39.2,211.5,Warning
2026-09-19 14:19:36.490358,54.5,1966.0,1006.1,32.3,110.4,Warning
2026-09-19 14:19:39.490358,51.5,2211.0,1037.9,39.3,175.7,Warning
2026-09-19 14:19:42.490358,46.4,2081.0,1027.9,19.3,89.4,Safe
2026-09-19 14:19:45.490358,52.5,1940.0,1003.0,27.2,121.1,Warning
2026-09-19 14:19:48.490358,48.5,2135.0,1018.2,33.6,129.5,Warning
2026-09-19 14:19:51.490358,49.5,2269.0,919.7,30.4,162.3,Warning
2026-09-19 14:19:54.490358,54.1,1984.0,1059.1,24.8,130.8,Warning
2026-09-19 14:19:57.490358,44.3,1771.0,922.5,29.7,121.4,Warning
2026-09-19 14:20:00.490358,46.3,2110.0,982.5,35.0,163.2,Warning
2026-09-19 14:20:03.490358,53.1,2168.0,1014.7,32.3,154.2,Warning
2026-09-19 14:20:06.490358,51.8,2178.0,1067.2,30.1,169.7,Warning
2026-09-19 14:20:09.490358,59.4,2336.0,1040.1,32.0,114.0,Warning
2026-09-19 14:20:12.490358,54.2,2214.0,1058.8,29.5,174.8,Warning
2026-09-19 14:20:15.490358,52.6,1916.0,1009.7,35.6,189.6,Warning
2026-09-19 14:20:18.490358,67.9,2655.0,1136.9,41.1,189.5,Warning
2026-09-19 14:20:21.490358,60.3,2484.0,1075.2,25.9,151.1,Warning
2026-09-19 14:20:24.490358,62.6,2332.0,1067.4,29.5,148.3,Warning
2026-09-19 14:20:27.490358,56.0,2194.0,1047.6,34.0,131.7,Warning
2026-09-19 14:20:30.490358,61.2,2101.0,1087.4,35.7,155.3,Warning
2026-09-19 14:20:33.490358,65.3,2510.0,1132.1,23.9,121.3,Warning
2026-09-19 14:20:36.490358,59.8,2380.0,1081.5,28.1,139.2,Warning
2026-09-19 14:20:39.490358,68.1,2494.0,1177.0,31.1,187.3,Warning
2026-09-19 14:20:42.490358,64.0,2568.0,1148.7,28.9,124.3,Warning
2026-09-19 14:20:45.490358,66.2,2405.0,1087.6,28.2,156.9,Warning
2026-09-19 14:20:48.490358,65.3,2517.0,1157.2,40.0,240.9,Warning
2026-09-19 14:20:51.490358,78.2,2602.0,1178.2,37.1,154.0,Warning
2026-09-19 14:20:54.490358,69.5,2534.0,1179.4,46.1,217.2,Warning
2026-09-19 14:20:57.490358,64.8,2395.0,1143.5,34.3,145.2,Warning
2026-09-19 14:21:00.490358,74.8,2703.0,1121.8,33.6,160.3,Warning
2026-09-19 14:21:03.490358,65.1,2372.0,1124.4,47.9,172.0,Warning
2026-09-19 14:21:06.490358,72.7,2598.0,1163.0,54.7,237.5,Danger
2026-09-19 14:21:09.490358,62.3,2482.0,1068.2,69.9,318.2,Danger
2026-09-19 14:21:12.490358,65.9,2382.0,1181.2,96.4,412.5,Danger
2026-09-19 14:21:15.490358,73.9,2407.0,1165.2,119.4,509.2,Danger
2026-09-19 14:21:18.490358,77.0,2987.0,1183.6,137.0,525.6,Danger
2026-09-19 14:21:21.490358,74.5,2869.0,1198.8,161.1,669.3,Danger
2026-09-19 14:21:24.490358,73.3,2439.0,1214.0,153.6,636.6,Danger
2026-09-19 14:21:27.490358,72.7,2720.0,1175.5,163.3,678.7,Danger
2026-09-19 14:21:30.490358,67.0,2399.0,1182.6,167.1,663.9,Danger
2026-09-19 14:21:33.490358,71.0,2614.0,1189.0,179.8,736.6,Danger
2026-09-19 14:21:36.490358,72.4,2655.0,1092.2,196.6,815.2,Danger
2026-09-19 14:21:39.490358,80.1,2768.0,1219.9,199.8,811.9,Danger
2026-09-19 14:21:42.490358,76.6,2599.0,1190.7,216.6,920.4,Danger
2026-09-19 14:21:45.490358,66.2,2351.0,1148.5,204.4,841.5,Danger
2026-09-19 14:21:48.490358,76.6,2578.0,1108.0,216.0,890.1,Danger
2026-09-19 14:21:51.490358,73.1,2502.0,1286.4,203.6,841.2,Danger
2026-09-19 14:21:54.490358,71.5,2579.0,1193.6,194.0,772.6,Danger
2026-09-19 14:21:57.490358,77.9,2640.0,1229.2,184.2,758.5,Danger
2026-09-19 14:22:00.490358,79.9,2899.0,1286.3,166.5,668.4,Danger
2026-09-19 14:22:03.490358,79.2,3004.0,1327.6,174.7,717.3,Danger
